regla,intento,accion,resultado,observacion,paso_a_paso,evidencia
,16,Exportar e instalar certificado CA_Squid en cliente Windows,exitoso,Se instaló el CA en 'Equipo local > Entidades de certificación raíz de confianza' para evitar ERR_CERT_AUTHORITY_INVALID.,,
,17,Crear sgerror.php para evitar 404 de SquidGuard,exitoso,Se creó /usr/local/www/sgerror.php en pfSense para mostrar mensaje de bloqueo en vez de 404.,,
,18,Probar bloqueo de YouTube con SSL Bump + SquidGuard (Domain/Expressions),exitoso,"SquidGuard interceptó conexiones (apareció 404/sgerror), pero faltaron expresiones regex y limpiar caché/HSTS en navegador.",,
,19,Problema: Domain List de SquidGuard no acepta más de 2 entradas (bug),falló,El campo concatenaba entradas; solución provisoria: usar Expressions o subir blacklist como archivo .txt.,,
,20,Intentar bloquear Facebook por dominio con SquidGuard (proxy transparente),falló,"Con proxy transparente y sin CA instalada en clientes, HTTPS se saltaba o daba errores; con CA instalado, interceptación funcionó mejor.",,
,21,Configurar Squid en modo explícito y forzar cliente a usar proxy (192.168.1.1:3128),exitoso,"Se desactivó modo transparente, el cliente fue configurado para usar proxy explícito; todo el tráfico HTTP(S) pasó por Squid.",,
,22,Crear Target Category Bloqueo_Facebook en SquidGuard (domains/expressions),exitoso,Se definió categoría y en Common ACL se puso deny; al usar proxy explícito el bloqueo de facebook.com funcionó.,,
,23,Problema: acceso a pfSense GUI bloqueado por proxy,solución aplicada,Se agregó excepción en cliente para 192.168.1.1 o whitelist en SquidGuard; restauró acceso al GUI.,,
,24,Prueba final Facebook bloqueado + Messenger permitido,exitoso,"facebook.com bloqueado vía SquidGuard; Messenger habilitado agregando whitelist (messenger.com, edge-chat.messenger.com, cdn.fbsbx.com, gateway.messenger.com).",,
,25,Problema Messenger sin conexión,falló,La interfaz cargaba pero mostraba 'Sin conexión a internet'; faltaban dominios adicionales en whitelist.,,
,26,Agregar dominios adicionales de Messenger a whitelist,exitoso,Messenger cargó chats y permitió enviar/recibir mensajes correctamente mientras Facebook seguía bloqueado.,,
,27,Probar bloqueo de WhatsApp por puertos 5222–5223 y 5228,falló,Interfaz de WhatsApp no cargaba completamente; se congelaba en pantalla inicial.,,
,28,Permitir web.whatsapp.com y bloquear solo puertos de mensajería,falló,WhatsApp Web cargaba pero aún enviaba mensajes porque usa HTTPS 443 además de 5222/5228.,,
,29,Crear alias de dominios de mensajería WhatsApp y bloquearlos en firewall,falló,"Se añadieron mmg.whatsapp.net, static.whatsapp.net, media.xx.fbcdn.net, edge-mqtt.facebook.com, graph.whatsapp.net; algunos mensajes seguían pasando por CDNs.",,
,30,"Intentar bloqueo por rangos de IP Meta (31.13.64.0/18, 157.240.0.0/16, 185.60.216.0/22)",falló,Bloqueo afectaba parte de WhatsApp pero otros rangos seguían permitiendo entrega de mensajes.,,
,31,Instalar pfBlockerNG y crear DNSBL WhatsApp_Block,exitoso,Se añadieron whatsapp.net y fbcdn.net como dominios base en DNSBL; WhatsApp Web cargó pero mensajes se quedaron colgados en algunos intentos.,,
,32,Validar bloqueo con nslookup y revisar DNSBL.log,exitoso,Consultas a mmg.whatsapp.net devolvieron 0.0.0.0/NXDOMAIN; confirmado que pfBlockerNG interceptó los dominios de mensajería.,,
,33,Prueba final WhatsApp con pfBlockerNG,falló,La interfaz de WhatsApp Web carga pero en ciertos casos aún logra enviar mensajes; bloqueo no es 100% consistente sin SSL inspection profunda.,,
